Estado,Codigo_Estado_IBGE,Populacao_Estimada,Casos_Covid,Mortes_Covid
SP,11,46289333,3853276,131960
TO,12,1590248,201821,3301
RS,13,11422973,1247381,32142
MT,14,3526220,463263,12278
DF,15,3055149,436649,9357
AC,16,894470,86400,1764
PB,17,4039277,405999,8767
ES,21,4064052,526670,11634
AL,22,3351543,222601,5499
AP,23,861773,118633,1865
RO,24,1796460,251839,6257
PI,25,3281480,301775,6689
AM,26,4207714,407028,13367
RN,27,3534165,349549,6896
SC,28,7252502,1074422,17252
BA,29,14930634,1152031,24670
PR,31,11516840,1319888,32211
MS,32,2809394,341841,8479
MG,33,21292666,1855624,47756
RJ,35,17366189,977770,56559
MA,41,7114598,325011,9282
PA,42,8690745,561798,15701
CE,43,9187103,899792,22969
RR,50,631181,114714,1778
SE,51,2318822,268229,5794
PE,52,9616621,566979,18068
GO,53,7113540,695562,19657
